id,source,target,relation,evidence,evidence_url,evidence_locator,epistemic_status,evidence_file,evidence_page
e16,author:romberg-justin,stable-cs-2005,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/math/0503066,citation_author metadata / paper byline,documented,,
e17,author:tao-terence,stable-cs-2005,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/math/0503066,citation_author metadata / paper byline,documented,,
e18,stable-cs-2005,field:compressed-sensing,classified_in,Establishes stable sparse-signal recovery from incomplete noisy linear measurements under conditions on the measurement matrix.,https://arxiv.org/abs/math/0503066,Curated classification based on abstract and stated task,curated_classification,,
e19,stable-cs-2005,field:theory,classified_in,Establishes stable sparse-signal recovery from incomplete noisy linear measurements under conditions on the measurement matrix.,https://arxiv.org/abs/math/0503066,Curated classification based on abstract and stated task,curated_classification,,
e20,author:heckel-reinhard,sparse-operators-2012,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1209.5187,citation_author metadata / paper byline,documented,,
e21,author:bolcskei-helmut,sparse-operators-2012,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1209.5187,citation_author metadata / paper byline,documented,,
e22,sparse-operators-2012,field:compressed-sensing,classified_in,Identifies structured linear operators from probing signals under conditions on their spreading-function support.,https://arxiv.org/abs/1209.5187,Curated classification based on abstract and stated task,curated_classification,,
e23,sparse-operators-2012,field:system-identification,classified_in,Identifies structured linear operators from probing signals under conditions on their spreading-function support.,https://arxiv.org/abs/1209.5187,Curated classification based on abstract and stated task,curated_classification,,
e24,author:brunton-steven-l,sindy-2015,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1509.03580,citation_author metadata / paper byline,documented,,
e25,author:proctor-joshua-l,sindy-2015,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1509.03580,citation_author metadata / paper byline,documented,,
e26,author:kutz-j-nathan,sindy-2015,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1509.03580,citation_author metadata / paper byline,documented,,
e27,sindy-2015,field:compressed-sensing,classified_in,Fits sparse combinations of candidate nonlinear functions to discover dynamical equations from data.,https://arxiv.org/abs/1509.03580,Curated classification based on abstract and stated task,curated_classification,,
e28,sindy-2015,field:system-identification,classified_in,Fits sparse combinations of candidate nonlinear functions to discover dynamical equations from data.,https://arxiv.org/abs/1509.03580,Curated classification based on abstract and stated task,curated_classification,,
e29,author:adcock-ben,cs-polynomials-2017,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1703.06987,citation_author metadata / paper byline,documented,,
e30,author:brugiapaglia-simone,cs-polynomials-2017,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1703.06987,citation_author metadata / paper byline,documented,,
e31,author:webster-clayton-g,cs-polynomials-2017,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1703.06987,citation_author metadata / paper byline,documented,,
e32,cs-polynomials-2017,field:compressed-sensing,classified_in,Reviews structured sparse polynomial approximation and weighted recovery for high-dimensional functions.,https://arxiv.org/abs/1703.06987,Curated classification based on abstract and stated task,curated_classification,,
e33,cs-polynomials-2017,field:sampling,classified_in,Reviews structured sparse polynomial approximation and weighted recovery for high-dimensional functions.,https://arxiv.org/abs/1703.06987,Curated classification based on abstract and stated task,curated_classification,,
e34,cs-polynomials-2017,field:theory,classified_in,Reviews structured sparse polynomial approximation and weighted recovery for high-dimensional functions.,https://arxiv.org/abs/1703.06987,Curated classification based on abstract and stated task,curated_classification,,
e35,author:bora-ashish,cs-generative-2017,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1703.03208,citation_author metadata / paper byline,documented,,
e36,author:jalal-ajil,cs-generative-2017,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1703.03208,citation_author metadata / paper byline,documented,,
e37,author:price-eric,cs-generative-2017,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1703.03208,citation_author metadata / paper byline,documented,,
e38,author:dimakis-alexandros-g,cs-generative-2017,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1703.03208,citation_author metadata / paper byline,documented,,
e39,cs-generative-2017,field:compressed-sensing,classified_in,Uses the range of a generative model as a prior for recovering signals from limited measurements.,https://arxiv.org/abs/1703.03208,Curated classification based on abstract and stated task,curated_classification,,
e40,cs-generative-2017,field:inverse-problems,classified_in,Uses the range of a generative model as a prior for recovering signals from limited measurements.,https://arxiv.org/abs/1703.03208,Curated classification based on abstract and stated task,curated_classification,,
e41,author:hernandez-j-a,ecm-2017,authored,Author listed in primary bibliographic metadata or PDF.,https://upcommons.upc.edu/handle/2117/91502?locale-attribute=en,citation_author metadata / paper byline,documented,,
e42,author:caicedo-m-a,ecm-2017,authored,Author listed in primary bibliographic metadata or PDF.,https://upcommons.upc.edu/handle/2117/91502?locale-attribute=en,citation_author metadata / paper byline,documented,,
e43,author:ferrer-a,ecm-2017,authored,Author listed in primary bibliographic metadata or PDF.,https://upcommons.upc.edu/handle/2117/91502?locale-attribute=en,citation_author metadata / paper byline,documented,,
e44,ecm-2017,field:quadrature,classified_in,Selects integration points and positive weights to reproduce reduced internal-force integrals in finite-element models.,https://upcommons.upc.edu/handle/2117/91502?locale-attribute=en,Curated classification based on abstract and stated task,curated_classification,,
e45,ecm-2017,field:hyper-reduction,classified_in,Selects integration points and positive weights to reproduce reduced internal-force integrals in finite-element models.,https://upcommons.upc.edu/handle/2117/91502?locale-attribute=en,Curated classification based on abstract and stated task,curated_classification,,
e46,author:ha-david,world-models-2018,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1803.10122,citation_author metadata / paper byline,documented,,
e47,author:schmidhuber-jurgen,world-models-2018,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1803.10122,citation_author metadata / paper byline,documented,,
e48,world-models-2018,field:world-models,classified_in,Learns a compact predictive environment model and trains a controller using that representation.,https://arxiv.org/abs/1803.10122,Curated classification based on abstract and stated task,curated_classification,,
e49,world-models-2018,field:control,classified_in,Learns a compact predictive environment model and trains a controller using that representation.,https://arxiv.org/abs/1803.10122,Curated classification based on abstract and stated task,curated_classification,,
e50,author:lu-lu,deeponet-2019,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1910.03193,citation_author metadata / paper byline,documented,,
e51,author:jin-pengzhan,deeponet-2019,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1910.03193,citation_author metadata / paper byline,documented,,
e52,author:karniadakis-george-em,deeponet-2019,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/1910.03193,citation_author metadata / paper byline,documented,,
e53,deeponet-2019,field:operator-learning,classified_in,Represents an operator using an input-function encoder and a coordinate-dependent output representation.,https://arxiv.org/abs/1910.03193,Curated classification based on abstract and stated task,curated_classification,,
e54,deeponet-2019,field:theory,classified_in,Represents an operator using an input-function encoder and a coordinate-dependent output representation.,https://arxiv.org/abs/1910.03193,Curated classification based on abstract and stated task,curated_classification,,
e55,author:li-zongyi,graph-kernel-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2003.03485,citation_author metadata / paper byline,documented,,
e56,author:kovachki-nikola,graph-kernel-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2003.03485,citation_author metadata / paper byline,documented,,
e57,author:azizzadenesheli-kamyar,graph-kernel-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2003.03485,citation_author metadata / paper byline,documented,,
e58,author:liu-burigede,graph-kernel-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2003.03485,citation_author metadata / paper byline,documented,,
e59,author:bhattacharya-kaushik,graph-kernel-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2003.03485,citation_author metadata / paper byline,documented,,
e60,author:stuart-andrew,graph-kernel-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2003.03485,citation_author metadata / paper byline,documented,,
e61,author:anandkumar-anima,graph-kernel-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2003.03485,citation_author metadata / paper byline,documented,,
e62,graph-kernel-2020,field:operator-learning,classified_in,Learns kernel interactions over spatial samples to approximate PDE solution maps.,https://arxiv.org/abs/2003.03485,Curated classification based on abstract and stated task,curated_classification,,
e63,graph-kernel-2020,field:graphs,classified_in,Learns kernel interactions over spatial samples to approximate PDE solution maps.,https://arxiv.org/abs/2003.03485,Curated classification based on abstract and stated task,curated_classification,,
e64,author:li-zongyi,fno-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2010.08895,citation_author metadata / paper byline,documented,,
e65,author:kovachki-nikola,fno-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2010.08895,citation_author metadata / paper byline,documented,,
e66,author:azizzadenesheli-kamyar,fno-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2010.08895,citation_author metadata / paper byline,documented,,
e67,author:liu-burigede,fno-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2010.08895,citation_author metadata / paper byline,documented,,
e68,author:bhattacharya-kaushik,fno-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2010.08895,citation_author metadata / paper byline,documented,,
e69,author:stuart-andrew,fno-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2010.08895,citation_author metadata / paper byline,documented,,
e70,author:anandkumar-anima,fno-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2010.08895,citation_author metadata / paper byline,documented,,
e71,fno-2020,field:operator-learning,classified_in,Learns global interactions through spectral transformations for families of PDE problems.,https://arxiv.org/abs/2010.08895,Curated classification based on abstract and stated task,curated_classification,,
e72,fno-2020,field:fourier,classified_in,Learns global interactions through spectral transformations for families of PDE problems.,https://arxiv.org/abs/2010.08895,Curated classification based on abstract and stated task,curated_classification,,
e73,fno-2020,field:fourier-neural-operators,classified_in,Learns global interactions through spectral transformations for families of PDE problems.,https://arxiv.org/abs/2010.08895,Curated classification based on abstract and stated task,curated_classification,,
e74,author:sanchez-gonzalez-alvaro,gns-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2002.09405,citation_author metadata / paper byline,documented,,
e75,author:godwin-jonathan,gns-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2002.09405,citation_author metadata / paper byline,documented,,
e76,author:pfaff-tobias,gns-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2002.09405,citation_author metadata / paper byline,documented,,
e77,author:ying-rex,gns-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2002.09405,citation_author metadata / paper byline,documented,,
e78,author:leskovec-jure,gns-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2002.09405,citation_author metadata / paper byline,documented,,
e79,author:battaglia-peter-w,gns-2020,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2002.09405,citation_author metadata / paper byline,documented,,
e80,gns-2020,field:graphs,classified_in,Learns particle-based physical simulation across materials using graph-network interactions.,https://arxiv.org/abs/2002.09405,Curated classification based on abstract and stated task,curated_classification,,
e81,gns-2020,field:physical-simulation,classified_in,Learns particle-based physical simulation across materials using graph-network interactions.,https://arxiv.org/abs/2002.09405,Curated classification based on abstract and stated task,curated_classification,,
e82,gns-2020,field:world-models,classified_in,Learns particle-based physical simulation across materials using graph-network interactions.,https://arxiv.org/abs/2002.09405,Curated classification based on abstract and stated task,curated_classification,,
e83,author:kovachki-nikola,neural-operator-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.08481,citation_author metadata / paper byline,documented,,
e84,author:li-zongyi,neural-operator-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.08481,citation_author metadata / paper byline,documented,,
e85,author:liu-burigede,neural-operator-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.08481,citation_author metadata / paper byline,documented,,
e86,author:azizzadenesheli-kamyar,neural-operator-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.08481,citation_author metadata / paper byline,documented,,
e87,author:bhattacharya-kaushik,neural-operator-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.08481,citation_author metadata / paper byline,documented,,
e88,author:stuart-andrew,neural-operator-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.08481,citation_author metadata / paper byline,documented,,
e89,author:anandkumar-anima,neural-operator-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.08481,citation_author metadata / paper byline,documented,,
e90,neural-operator-2021,field:operator-learning,classified_in,"Develops a function-space framework, approximation theory, and several efficient operator parameterizations.",https://arxiv.org/abs/2108.08481,Curated classification based on abstract and stated task,curated_classification,,
e91,neural-operator-2021,field:theory,classified_in,"Develops a function-space framework, approximation theory, and several efficient operator parameterizations.",https://arxiv.org/abs/2108.08481,Curated classification based on abstract and stated task,curated_classification,,
e92,author:wen-gege,u-fno-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2109.03697,citation_author metadata / paper byline,documented,,
e93,author:li-zongyi,u-fno-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2109.03697,citation_author metadata / paper byline,documented,,
e94,author:azizzadenesheli-kamyar,u-fno-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2109.03697,citation_author metadata / paper byline,documented,,
e95,author:anandkumar-anima,u-fno-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2109.03697,citation_author metadata / paper byline,documented,,
e96,author:benson-sally-m,u-fno-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2109.03697,citation_author metadata / paper byline,documented,,
e97,u-fno-2021,field:operator-learning,classified_in,Combines U-Net-style processing with Fourier operator components for multiphase subsurface flow.,https://arxiv.org/abs/2109.03697,Curated classification based on abstract and stated task,curated_classification,,
e98,u-fno-2021,field:subsurface,classified_in,Combines U-Net-style processing with Fourier operator components for multiphase subsurface flow.,https://arxiv.org/abs/2109.03697,Curated classification based on abstract and stated task,curated_classification,,
e99,u-fno-2021,field:fourier-neural-operators,classified_in,Combines U-Net-style processing with Fourier operator components for multiphase subsurface flow.,https://arxiv.org/abs/2109.03697,Curated classification based on abstract and stated task,curated_classification,,
e100,author:yang-yan,seismic-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.05421,citation_author metadata / paper byline,documented,,
e101,author:gao-angela-f,seismic-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.05421,citation_author metadata / paper byline,documented,,
e102,author:castellanos-jorge-c,seismic-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.05421,citation_author metadata / paper byline,documented,,
e103,author:ross-zachary-e,seismic-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.05421,citation_author metadata / paper byline,documented,,
e104,author:azizzadenesheli-kamyar,seismic-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.05421,citation_author metadata / paper byline,documented,,
e105,author:clayton-robert-w,seismic-2021,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2108.05421,citation_author metadata / paper byline,documented,,
e106,seismic-2021,field:operator-learning,classified_in,Studies neural-operator surrogates for wave propagation and seismic inversion.,https://arxiv.org/abs/2108.05421,Curated classification based on abstract and stated task,curated_classification,,
e107,seismic-2021,field:inverse-problems,classified_in,Studies neural-operator surrogates for wave propagation and seismic inversion.,https://arxiv.org/abs/2108.05421,Curated classification based on abstract and stated task,curated_classification,,
e108,seismic-2021,field:seismology,classified_in,Studies neural-operator surrogates for wave propagation and seismic inversion.,https://arxiv.org/abs/2108.05421,Curated classification based on abstract and stated task,curated_classification,,
e109,seismic-2021,field:fourier-neural-operators,classified_in,Studies neural-operator surrogates for wave propagation and seismic inversion.,https://arxiv.org/abs/2108.05421,Curated classification based on abstract and stated task,curated_classification,,
e110,author:pathak-jaideep,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e111,author:subramanian-shashank,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e112,author:harrington-peter,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e113,author:raja-sanjeev,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e114,author:chattopadhyay-ashesh,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e115,author:mardani-morteza,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e116,author:kurth-thorsten,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e117,author:hall-david,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e118,author:li-zongyi,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e119,author:azizzadenesheli-kamyar,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e120,author:hassanzadeh-pedram,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e121,author:kashinath-karthik,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e122,author:anandkumar-anima,fourcastnet-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2202.11214,citation_author metadata / paper byline,documented,,
e123,fourcastnet-2022,field:operator-learning,classified_in,Uses adaptive Fourier neural operators for global weather prediction and inexpensive ensembles.,https://arxiv.org/abs/2202.11214,Curated classification based on abstract and stated task,curated_classification,,
e124,fourcastnet-2022,field:weather,classified_in,Uses adaptive Fourier neural operators for global weather prediction and inexpensive ensembles.,https://arxiv.org/abs/2202.11214,Curated classification based on abstract and stated task,curated_classification,,
e125,fourcastnet-2022,field:fourier-neural-operators,classified_in,Uses adaptive Fourier neural operators for global weather prediction and inexpensive ensembles.,https://arxiv.org/abs/2202.11214,Curated classification based on abstract and stated task,curated_classification,,
e126,author:takamoto-makoto,pdebench-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2210.07182,citation_author metadata / paper byline,documented,,
e127,author:praditia-timothy,pdebench-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2210.07182,citation_author metadata / paper byline,documented,,
e128,author:leiteritz-raphael,pdebench-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2210.07182,citation_author metadata / paper byline,documented,,
e129,author:mackinlay-dan,pdebench-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2210.07182,citation_author metadata / paper byline,documented,,
e130,author:alesiani-francesco,pdebench-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2210.07182,citation_author metadata / paper byline,documented,,
e131,author:pfluger-dirk,pdebench-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2210.07182,citation_author metadata / paper byline,documented,,
e132,author:niepert-mathias,pdebench-2022,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2210.07182,citation_author metadata / paper byline,documented,,
e133,pdebench-2022,field:benchmarks,classified_in,Provides multiple PDE datasets and baseline implementations for scientific machine learning.,https://arxiv.org/abs/2210.07182,Curated classification based on abstract and stated task,curated_classification,,
e134,pdebench-2022,field:physical-simulation,classified_in,Provides multiple PDE datasets and baseline implementations for scientific machine learning.,https://arxiv.org/abs/2210.07182,Curated classification based on abstract and stated task,curated_classification,,
e135,author:molinaro-roberto,nio-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2301.11167,citation_author metadata / paper byline,documented,,
e136,author:yang-yunan,nio-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2301.11167,citation_author metadata / paper byline,documented,,
e137,author:engquist-bjorn,nio-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2301.11167,citation_author metadata / paper byline,documented,,
e138,author:mishra-siddhartha,nio-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2301.11167,citation_author metadata / paper byline,documented,,
e139,nio-2023,field:operator-learning,classified_in,Combines operator-learning components for PDE inverse problems where observations encode an operator-valued measurement map.,https://arxiv.org/abs/2301.11167,Curated classification based on abstract and stated task,curated_classification,,
e140,nio-2023,field:inverse-problems,classified_in,Combines operator-learning components for PDE inverse problems where observations encode an operator-valued measurement map.,https://arxiv.org/abs/2301.11167,Curated classification based on abstract and stated task,curated_classification,,
e141,nio-2023,field:fourier-neural-operators,classified_in,Combines operator-learning components for PDE inverse problems where observations encode an operator-valued measurement map.,https://arxiv.org/abs/2301.11167,Curated classification based on abstract and stated task,curated_classification,,
e142,author:augenstein-yannick,em-design-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2302.01934,citation_author metadata / paper byline,documented,,
e143,author:repan-taavi,em-design-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2302.01934,citation_author metadata / paper byline,documented,,
e144,author:rockstuhl-carsten,em-design-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2302.01934,citation_author metadata / paper byline,documented,,
e145,em-design-2023,field:operator-learning,classified_in,Uses a neural-operator surrogate for repeated electromagnetic evaluation during inverse design.,https://arxiv.org/abs/2302.01934,Curated classification based on abstract and stated task,curated_classification,,
e146,em-design-2023,field:inverse-design,classified_in,Uses a neural-operator surrogate for repeated electromagnetic evaluation during inverse design.,https://arxiv.org/abs/2302.01934,Curated classification based on abstract and stated task,curated_classification,,
e147,em-design-2023,field:electromagnetics,classified_in,Uses a neural-operator surrogate for repeated electromagnetic evaluation during inverse design.,https://arxiv.org/abs/2302.01934,Curated classification based on abstract and stated task,curated_classification,,
e148,em-design-2023,field:fourier-neural-operators,classified_in,Uses a neural-operator surrogate for repeated electromagnetic evaluation during inverse design.,https://arxiv.org/abs/2302.01934,Curated classification based on abstract and stated task,curated_classification,,
e149,author:bonev-boris,sfno-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2306.03838,citation_author metadata / paper byline,documented,,
e150,author:kurth-thorsten,sfno-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2306.03838,citation_author metadata / paper byline,documented,,
e151,author:hundt-christian,sfno-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2306.03838,citation_author metadata / paper byline,documented,,
e152,author:pathak-jaideep,sfno-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2306.03838,citation_author metadata / paper byline,documented,,
e153,author:baust-maximilian,sfno-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2306.03838,citation_author metadata / paper byline,documented,,
e154,author:kashinath-karthik,sfno-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2306.03838,citation_author metadata / paper byline,documented,,
e155,author:anandkumar-anima,sfno-2023,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/2306.03838,citation_author metadata / paper byline,documented,,
e156,sfno-2023,field:operator-learning,classified_in,Adapts spectral operator computation to spherical geometry for atmospheric dynamics.,https://arxiv.org/abs/2306.03838,Curated classification based on abstract and stated task,curated_classification,,
e157,sfno-2023,field:weather,classified_in,Adapts spectral operator computation to spherical geometry for atmospheric dynamics.,https://arxiv.org/abs/2306.03838,Curated classification based on abstract and stated task,curated_classification,,
e158,sfno-2023,field:fourier,classified_in,Adapts spectral operator computation to spherical geometry for atmospheric dynamics.,https://arxiv.org/abs/2306.03838,Curated classification based on abstract and stated task,curated_classification,,
